Flag,Name,Addresses,MAC,Type,Maps,Services Down,Notes
up,S6730 Jardim Formoso,192.168.15.6,XEROXCORPO:00:06:00,,DC Capivari do Sul,,">>>ATIVA PTP FO <<<  system-view  interface XGigabitEthernet0/0/2  undo shutdown  quit  quit  save, >>>DESATIVA PTP FO <<<  system-view  interface interface XGigabitEthernet0/0/2  shutdown  quit  quit  save, >>>>>>>>>>>SINAL PTP FO<<<<<<<<<<<<<  display transceiver diagnosis interface XGigabitEthernet 0/0/2, >>>>>>>>>>>MOSTRA CONFIGURAÇÕES<<<<<<<<<<<<<  display current-configuration, >>>>>>>>>>>SINAL PTP FO MAIS COMPLETO<<<<<<<<<<<<<  display transceiver interface XGigabitEthernet 0/0/2 verbose, >>>DESATIVA BACKUP DE RÁDIO <<<  system-view  interface GigabitEthernet0/0/2  shutdown  quit  quit  save, >>>ATIVA BACKUP DE RÁDIO <<<  system-view  interface GigabitEthernet0/0/2  undo shutdown  quit  quit  save"
up,Regua AC,192.168.115.102,MicrochipT:25:87:A7,,DC Capivari do Sul,,1 -  2 -   3 -   4 -  5 -   6 -   7 -  8 -   9 -  10 - CHIPEIRA
up,S6730 GGV,192.168.115.134,E8:AC:23:45:1E:22,,DC Granja Vargas,,
up,OLT GGV,192.168.115.126,ztecorpora:DC:B2:B2,,DC Granja Vargas,,
up,S6730 Jardim Formoso,192.168.15.6,XEROXCORPO:00:06:00,,DC Granja Vargas,,">>>ATIVA PTP FO <<<  system-view  interface XGigabitEthernet0/0/2  undo shutdown  quit  quit  save, >>>DESATIVA PTP FO <<<  system-view  interface interface XGigabitEthernet0/0/2  shutdown  quit  quit  save, >>>>>>>>>>>SINAL PTP FO<<<<<<<<<<<<<  display transceiver diagnosis interface XGigabitEthernet 0/0/2, >>>>>>>>>>>MOSTRA CONFIGURAÇÕES<<<<<<<<<<<<<  display current-configuration, >>>>>>>>>>>SINAL PTP FO MAIS COMPLETO<<<<<<<<<<<<<  display transceiver interface XGigabitEthernet 0/0/2 verbose, >>>DESATIVA BACKUP DE RÁDIO <<<  system-view  interface GigabitEthernet0/0/2  shutdown  quit  quit  save, >>>ATIVA BACKUP DE RÁDIO <<<  system-view  interface GigabitEthernet0/0/2  undo shutdown  quit  quit  save"
up,GW DC GGV,192.168.15.18,Routerboar:CA:91:A8,,DC Granja Vargas,,
up,CEEE DC GGV,192.168.84.7,Routerboar:A8:4F:BD,Some Device,CEEE,,UC 1006055166
up,Elipal,177.72.105.7,UbiquitiNe:4E:7B:9D,,Empresarial,,
up,CGNAT 1 -  Jardim Formoso,177.72.104.66,30:29:52:E8:26:94,,DC Capivari do Sul,,
up,BRAS - PPPoE - Jardim Formoso,10.200.255.240,04:8C:16:CC:2F:B7,Some Device,DC Capivari do Sul,,
up,S5720 CDN JDF,192.168.15.26,XEROXCORPO:00:06:00,,DC Capivari do Sul,,
up,Gerador Centro TVR,192.168.5.15,18:0D:2C:D6:4A:0F,,CEEE,,UC - 1003680612
